trajectory_index,mode_index,selection_reason,eigenvalue,time,initial_coefficient,actual_coefficient,propagator,homogeneous_coefficient,net_forcing_injection,previous_step_forcing_projection,duhamel_reconstruction,identity_residual,relative_identity_residual,cancellation_condition,absolute_prediction_error,forcing_radius_R,epsilon,shadowing,mode_energy_fraction,selected_modes_energy_fraction
0,1,low,-13.20075514043792,670,0.021931360635263596,0.0155270579625084,0.7080548952109618,0.015528607256435376,-1.5492939269765027e-06,7.551971912406197e-10,0.015527057962508374,2.6020852139652106e-17,8.37835992306023e-16,1.0009519686965918,1.5492939269765027e-06,1.323197920349654e-05,0.0008521034104982554,1,0.058371388952258435,0.9836849165638475
0,1,low,-13.20075514043792,680,0.021931360635263596,0.016532223431992333,0.7538920151122479,0.0165338776634723,-1.6542314799673774e-06,-8.904387054087248e-10,0.016532223431992312,2.0816681711721685e-17,6.295160196361926e-16,1.0009581627299515,1.6542314799673774e-06,1.4186328855799238e-05,0.0008580158353984064,1,0.05759550921964051,0.9848348181998163
0,1,low,-13.20075514043792,690,0.021931360635263596,0.017637370587205315,0.8042932705619957,0.017639245773210764,-1.875186005449031e-06,-1.9149477101243484e-08,0.017637370587205287,2.7755575615628914e-17,7.867563038829612e-16,1.0009737499048612,1.875186005449031e-06,1.5299201925844762e-05,0.0008673387809517403,1,0.05681187948744123,0.9859051762528349
0,1,low,-13.20075514043792,700,0.021931360635263596,0.01885385621927435,0.8597706770822429,0.01885594078271543,-2.0845634410779357e-06,7.749091993081159e-11,0.018853856219274327,2.42861286636753e-17,6.439914333507432e-16,1.0009838424064317,2.0845634410779357e-06,1.6464659832209714e-05,0.0008731815623488955,1,0.05602278265262226,0.9869014508458127
0,1,low,-13.20075514043792,710,0.021931360635263596,0.020194370072446746,0.9209022842031301,0.020196640104696857,-2.270032250110965e-06,2.6802697561389976e-09,0.020194370072446725,2.0816681711721685e-17,5.153501177376683e-16,1.0009914538905986,2.270032250110965e-06,1.775175452640702e-05,0.0008789459253808624,1,0.05522920457503936,0.9878280736012043
0,1,low,-13.20075514043792,720,0.021931360635263596,0.021673108230292674,0.9883414760902035,0.021675673342923005,-2.5651126303316563e-06,-2.62193949988887e-08,0.021673108230292653,2.0816681711721685e-17,4.801853530081503e-16,1.001003861587547,2.5651126303316563e-06,1.9191688204808808e-05,0.0008854021695743442,1,0.054431885615919176,0.9886902512520261
0,1,low,-13.20075514043792,730,0.021931360635263596,0.023306376656119773,1.0628277012755865,0.02330925760982309,-2.880953703317951e-06,-2.5563836568431864e-09,0.02330637665611975,2.42861286636753e-17,5.209545724322107e-16,1.0010155447579048,2.880953703317951e-06,2.0787714935555377e-05,0.0008918222657934385,1,0.05363235292493583,0.989492127408369
0,1,low,-13.20075514043792,740,0.021931360635263596,0.02511255572359895,1.1451988515662248,0.02511576901278858,-3.213289189629015e-06,5.8567798666420146e-09,0.025112555723598926,2.42861286636753e-17,4.834836761579777e-16,1.0010255855781058,3.213289189629015e-06,2.254178578987377e-05,0.0008975152534009938,1,0.05283159141650456,0.990238034160817
0,1,low,-13.20075514043792,750,0.021931360635263596,0.02711247685410252,1.236405578685935,0.02711605663761302,-3.579783510499618e-06,-9.789597014975282e-09,0.027112476854102504,1.734723475976807e-17,3.198701601711788e-16,1.0010339261044063,3.579783510499618e-06,2.4452514064069892e-05,0.0009017724955682348,1,0.05203039981579597,0.9909314447124802
0,1,low,-13.20075514043792,760,0.021931360635263596,0.029329736577268815,1.3375278694406603,0.029333806064418884,-4.06948715006919e-06,-8.97558275272936e-09,0.02932973657726879,2.42861286636753e-17,4.1396143088867194e-16,1.0010473612448405,4.06948715006919e-06,2.664934226234182e-05,0.0009084856633952712,1,0.05122945703564245,0.9915762510829809
