gset_id,initialization,n,step,lambda_min,eigen_residual,initial_dual,archive_cut,fractionality,rayleigh,v1_energy_fraction,mean_dual,dual_anisotropy_rms,saturated_fraction
67,center_uniform,10000,160,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4470.0,0.9995221688639363,-2.655071232149763,0.0001510396236311997,2.866734372448921,0.0008098466423481032,0.0
67,center_uniform,10000,170,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4588.0,0.9995285820860061,-2.6988053370347433,0.00016217546648585247,2.8167581638336183,0.0008348404478554054,0.0
67,center_uniform,10000,180,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4668.0,0.9995314939319625,-2.7378935274345175,0.0001735506228313816,2.766781703901291,0.0008596882397737803,0.0
67,center_uniform,10000,190,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4768.0,0.9995311311879255,-2.7730484986391843,0.00018517306286947106,2.716805174779892,0.0008845689895180001,0.0
67,center_uniform,10000,200,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4826.0,0.9995276252109105,-2.804852106566272,0.00019704186460194946,2.666828752183914,0.0009096756340829211,0.0
67,center_uniform,10000,210,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4882.0,0.9995210258534798,-2.8337815052917334,0.0002091601415100705,2.616852577853203,0.0009351905010064393,0.0
67,center_uniform,10000,220,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,4944.0,0.99951130996111,-2.8602296872387427,0.00022153302696947987,2.5668767904520036,0.0009613159593879069,0.0
67,center_uniform,10000,230,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5000.0,0.9994983863168483,-2.884522263400457,0.00023415927344391937,2.5169015528440477,0.0009882489982235055,0.0
67,center_uniform,10000,240,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5048.0,0.999482096623087,-2.90693035924239,0.0002470411885919702,2.466927030444145,0.0010161948339959682,0.0
67,center_uniform,10000,250,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5106.0,0.9994622144206541,-2.9276811256089075,0.00026018125786842774,2.4169534047842025,0.0010453954967355088,0.0
67,center_uniform,10000,260,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5158.0,0.9994384407262513,-2.946966071435565,0.0002735816234601762,2.3669808567523956,0.001076098863079161,0.0
67,center_uniform,10000,270,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5204.0,0.9994103976206224,-2.9649475037195625,0.00028724264965363563,2.317009591794014,0.001108586353635382,0.0
67,center_uniform,10000,280,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5246.0,0.9993776190299847,-2.9817639520319807,0.0003011645145595309,2.2670398387908937,0.0011431784135778908,0.0
67,center_uniform,10000,290,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5276.0,0.9993395383107675,-2.9975341057939118,0.0003153504528362485,2.217071835517883,0.0011802463209777453,0.0
67,center_uniform,10000,300,-3.5658849749508184,1.7528888507512503e-10,3.6658849749508184,5320.0,0.9992954726348231,-3.012360482047743,0.00032979787289412477,2.167105871272087,0.0012202142894919502,0.0
